Self Determined Field,ISSN,Journal_Name,Publisher_ABDC
Marketing,0092-0703,Journal of the Academy of Marketing Science,Springer International Publishing
Marketing,1470-5931,Marketing Theory,Sage Publications
Gen Management,0001-4273,Academy of Management Journal,Academy of Management
Gen Management,1748-1252,International Journal of Enterprise Network Management,Inderscience Enterprises Ltd.
Gen Management,1047-7039,Organization Science,The Institute for Operations Research and the Management Sciences (INFORMS)
Gen Management,0017-8012,Harvard Business Review,Harvard University
Gen Management,1532-9194,MIT Sloan Management Review: MIT's journal of management research and ideas,Thomson Reuters



